k,observed kmers,possible kmers
1,4,4
2,13,106
3,35,105
4,56,104
5,71,103
6,79,102
7,84,101
8,87,100
9,89,99
10,91,98
11,93,97
12,95,96
13,95,95
14,94,94
15,93,93
16,92,92
17,91,91
18,90,90
19,89,89
20,88,88
21,87,87
22,86,86
23,85,85
24,84,84
25,83,83
26,82,82
27,81,81
28,80,80
29,79,79
30,78,78
31,77,77
32,76,76
33,75,75
34,74,74
35,73,73
36,72,72
37,71,71
38,70,70
39,69,69
40,68,68
41,67,67
42,66,66
43,65,65
44,64,64
45,63,63
46,62,62
47,61,61
48,60,60
49,59,59
50,58,58
51,57,57
52,56,56
53,55,55
54,54,54
55,53,53
56,52,52
57,51,51
58,50,50
59,49,49
60,48,48
61,47,47
62,46,46
63,45,45
64,44,44
65,43,43
66,42,42
67,41,41
68,40,40
69,39,39
70,38,38
71,37,37
72,36,36
73,35,35
74,34,34
75,33,33
76,32,32
77,31,31
78,30,30
79,29,29
80,28,28
81,27,27
82,26,26
83,25,25
84,24,24
85,23,23
86,22,22
87,21,21
88,20,20
89,19,19
90,18,18
91,17,17
92,16,16
93,15,15
94,14,14
95,13,13
96,12,12
97,11,11
98,10,10
99,9,9
100,8,8
101,7,7
102,6,6
103,5,5
104,4,4
105,3,3
106,2,2
107,1,1
Total,5357,5675
