k,observed kmers,possible kmers
1,4,4
2,14,103
3,34,102
4,61,101
5,78,100
6,87,99
7,90,98
8,92,97
9,93,96
10,93,95
11,93,94
12,93,93
13,92,92
14,91,91
15,90,90
16,89,89
17,88,88
18,87,87
19,86,86
20,85,85
21,84,84
22,83,83
23,82,82
24,81,81
25,80,80
26,79,79
27,78,78
28,77,77
29,76,76
30,75,75
31,74,74
32,73,73
33,72,72
34,71,71
35,70,70
36,69,69
37,68,68
38,67,67
39,66,66
40,65,65
41,64,64
42,63,63
43,62,62
44,61,61
45,60,60
46,59,59
47,58,58
48,57,57
49,56,56
50,55,55
51,54,54
52,53,53
53,52,52
54,51,51
55,50,50
56,49,49
57,48,48
58,47,47
59,46,46
60,45,45
61,44,44
62,43,43
63,42,42
64,41,41
65,40,40
66,39,39
67,38,38
68,37,37
69,36,36
70,35,35
71,34,34
72,33,33
73,32,32
74,31,31
75,30,30
76,29,29
77,28,28
78,27,27
79,26,26
80,25,25
81,24,24
82,23,23
83,22,22
84,21,21
85,20,20
86,19,19
87,18,18
88,17,17
89,16,16
90,15,15
91,14,14
92,13,13
93,12,12
94,11,11
95,10,10
96,9,9
97,8,8
98,7,7
99,6,6
100,5,5
101,4,4
102,3,3
103,2,2
104,1,1
Total,5110,5360
